extractor,best_classifier,n_samples,cv_splits,cv_f1_mean,cv_f1_std,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_recall_mean,cv_roc_auc_mean
resnet18,xgboost,161,5,0.8586232102915622,0.05055640905407409,0.8068181818181819,0.07041787902195303,0.8189113495200451,0.9047619047619048,0.8904689754689755
densenet121,svm,161,5,0.8727215474583895,0.04980993165594398,0.8384469696969697,0.06684720732865387,0.9051169590643274,0.8466666666666667,0.9007864357864358
efficientnet_b0,xgboost,161,5,0.8760461760461761,0.03722384378040109,0.8321969696969698,0.0470612499712041,0.8343685300207039,0.9238095238095239,0.9074531024531023
