model,status,accuracy,f1
logistic_regression,trained,0.6363636363636364,0.7391304347826086
random_forest,trained,0.7575757575757576,0.7777777777777778
gradient_boosting,trained,0.7575757575757576,0.8
xgboost,trained,0.7878787878787878,0.8205128205128205
